name,season,status,tv_network,ano
Carl Weber’s The Family Business,1,,BET,2018
Carter,1,Renewed 1/23,WGN,2018
Champaign Ill,1,Canceled 4/10,YT,2018
Channel Zero SEASON,SEASON,Canceled 1/16,SYFY,2018
Chesapeake Shores,SEASON 3,Renewed 2/9,HALL,2018
Claws,SEASON 2,Renewed for a 3rd season on 7/2,TNT,2018
Clique,1,Already renewed for S2 (to air early 2019),POP,2018
Cobra Kai,SEASON 2,Renewed for a 3rd season on 5/2,YT,2018
Condor,1,Renewed for a 2nd season on 7/27,DIREC,2018
Corporate,SEASON 2,Renewed for a 3rd (final) season on 6/10/19,COM,2018
Counterpart,SEASON 2,Canceled 2/11,STRZ,2018
Dead Lucky,1,Sundance Now exclusive,SUND,2018
Deadly Class,1,Canceled 6/4/19,SYFY,2018
Deep State,1,,EPIX,2018
Deep State,SEASON 2,,EPIX,2018
Detroiters,SEASON 2,Canceled 12/11,COM,2018
Deutschland 86,SEASON 2,Previously   titled Deutschland 83,SUND,2018
Dietland,1,Canceled 9/20,AMC,2018
Dirty John,1,Initial order is for 2 seasons; moving to USA,BRAV,2018
A Discovery of Witches,1,"Streaming series (Shudder/Sundance Now); 
                renewed through S3",SHUD,2018
Doctor Who,SEASON 11,Renewed but S12 won't air until 2020,BBCA,2018
Documentary Now!,SEASON 3,Renewed for a 4th season on 4/8,IFC,2018
Doom Patrol,1,Renewed for a 2nd season on 7/20/19,DCU,2018
"Dream Corp, LLC",SEASON 2,,ADSW,2018
Drunk History,SEASON 5,Renewed for a 6th season on 2/22,COM,2018
Drunk History,SEASON 6,,COM,2018
The Durrells in Corfu,SEASON 3,,PBS,2018
Dynasties,1,Miniseries,BBCA,2018
Endeavour,SEASON 5,,PBS,2018
Family Time,SEASON 6,,BNCE,2018
Fear the Walking Dead,SEASON 4,Renewed for a 5th season on 7/28,AMC,2018
Finding Joy,1,,ACRN,2018
Five Points,1,Facebook Watch; renewed 12/13,FB,2018
Flack,1,Renewed for a 2nd season on 8/2/19,POP,2018
Full Frontal with Samantha Bee,S3,Renewed through S4 on 1/11/18,TBS,2018
Genius,SEASON 3 (Mary Shelley) starts tbd,Delayed; S3 will now cover Aretha Franklin,NGC,2018
Get Shorty,SEASON 2,Renewed for a 3rd season on 12/11,EPIX,2018
Girlfriends' Guide to Divorce,S5,Ending with this 5th season,BRAV,2018
Gone,1,,WGN,2018
Good Trouble,1,Renewed for a 2nd season on 2/5,FREEF,2018
Greenleaf,SEASON  3,Renewed for a 4th season on 9/19,OWN,2018
grown-ish,SEASON 2,Renewed for a 3rd season on 2/5,FREEF,2018
The Guest Book,SEASON 2,,TBS,2018
Happy!,SEASON 2,Canceled 6/4/19,SYFY,2018
The Haves and the Have Nots,SEASON 6,,OWN,2018
Heathers,1,Rescheduled from original spring start,PAR,2018
Hit the Floor,SEASON  4,Moving from VH1 to BET; canceled 12/7,BET,2018
Hot Streets,SEASON 2,,ADSW,2018
The Hot Zone,1,Scripted miniseries,NGC,2018
Humans,SEASON 3,Canceled 5/20,AMC,2018
I Am the Night,1,fka One Day She'll Darken,TNT,2018
I'm Sorry,SEASON 2,Renewed for a 3rd season on 6/18/19,TRU,2018
Impulse,1,YouTube scripted series; renewed 7/19,YT,2018
In The Cut,SEASON 4,,BNCE,2018
Into the Badlands,SEASON 3,Canceled 2/9,AMC,2018
The Jellies,SEASON 2,,ADSW,2018
Killing Eve,SEASON 2,Renewed for a 3rd season on 4/8,BBCA,2018
Killjoys,SEASON 4,Renewed through a final S5 on 9/1/17,SYFY,2018
Klepper,1,,COM,2018
Knightfall,SEASON 2,,HIST,2018
L.A.'s Finest,1,Renewed for a 2nd season on 6/14/19,SPEC,2018
Last Call,1,,BNCE,2018
The Last O.G.,SEASON 2,Renewed for a 3rd season on 5/15,TBS,2018
The Last Ship,SEASON 5,Ending with this 5th season,TNT,2018
Les Miserables,1,Miniseries,PBS,2018
Line of Duty,SEASON 5,,ACRN,2018
The Little Drummer Girl,1,Miniseries,AMC,2018
Lodge 49,1,Renewed for a 2nd season on 10/4,AMC,2018
London Kills,1,,ACRN,2018
Loudermilk,SEASON 2,Renewed for a 3rd season on 12/5,DIREC,2018
Love Is ___,1,Renewed  7/31 but then canceled 12/19,OWN,2018
The Magicians,SEASON 4,Renewed for a 5th season on 1/22,SYFY,2018
Manhunt,1,UK miniseries,ACRN,2018
Mars,SEASON 2,,NGC,2018
Marvel's Cloak & Dagger,1,Renewed for a 2nd season on 7/20,FREEF,2018
Marvel's Cloak & Dagger,SEASON 2,Canceled 10/24/19,FREEF,2018
Marvel's Spider-Man,SEASON 2,Renewed for a 3rd season on 5/30,DISXD,2018
Michael Moore's TV Nation,1,Project killed 2/7/19 prior to production,TBS,2018
Mike Judge Presents: Tales From the Tour Bus,SEASON 2,,MAX,2018
The Miniaturist,1,Miniseries,PBS,2018
Miracle Workers,1,Renewed for a 2nd season on 5/15,TBS,2018
Mr. Mercedes,SEASON 2,Renewed for a 3rd season on 11/19,DIREC,2018
Mrs. Wilson,1,Miniseries,PBS,2018
Ms. Fisher's Modern Murder Mysteries,1,,ACRN,2018
Mystery Road,1,,ACRN,2018
The Name of the Rose,1,Miniseries,SUND,2018
Nashville,SEASON 6,Ending with this 6th season,CMT,2018
Native America,1,Miniseries,PBS,2018
Next of Kin,1,Sundance Now exclusive,SUND,2018
The New Negroes,1,,COM,2018
Nightflyers,1,Canceled 2/19,SYFY,2018
Now Apocalypse,1,Canceled 7/26/19,STRZ,2018
The Oath,SEASON 2,,CRKL,2018
Origin,1,YouTube scripted series scripted series,YT,2018
The Other Two,1,Renewed for a 2nd season on 2/11,COM,2018
Outcast,SEASON 2,Canceled 10/2,MAX,2018
Outlander,SEASON 4,Renewed through  S6 on 5/9/18,STRZ,2018
People of Earth,SEASON 3,Canceled 6/9; S3 will not air,TBS,2018
Pitching In,1,,ACRN,2018
Poldark,SEASON 4,Renewed for a 5th (final season) 9/10,PBS,2018
Power,SEASON 5,Renewed for a 6th (final) season on 3/13/18,STRZ,2018
Preacher,SEASON 3,Renewed for a 4th (final) season on 11/29,AMC,2018
Pretty Little Liars: The Perfectionists,1,,FREEF,2018
Private Eyes,SEASON 2,Canadian series;  renewed through S3,ION,2018
Project Blue Book,1,Scripted series; renewed 2/10,HIST,2018
Pure,SEASON 2,Canadian series; moving from Hulu,WGN,2018
The Purge,1,Renewed 11/6,USA,2018
Queen America,1,Facebook Watch scripted series,FB,2018
Queen of the South,SEASON 3,Renewed for a 4th season on 10/1,USA,2018
Raven's Home,SEASON 2,Renewed 11/29,DISN,2018
Rob Riggle's Ski Master Academy,1,,CRKL,2018
Ryan Hansen Solves Crimes on Television,SEASON 2,,YT,2018
Sacred Lies,1,Facebook Watch; renewed 12/13,FB,2018
Save Me,1,,STRZ,2018
Schitt's Creek,SEASON 5,Renewed for a 6th (final) season on 3/21,POP,2018
Shadowhunters,SEASON 3,Canceled 6/4,FREEF,2018
The Shivering Truth,1,,ADSW,2018
Shooter,SEASON 3,Canceled 8/15,USA,2018
The Sinner,SEASON 2,Renewed for a 3rd season on 3/6,USA,2018
Siren,SEASON 2,Renewed for a 3rd season on 5/14,FREEF,2018
Snatch,SEASON 2,,CRKL,2018
The Son,SEASON 2,Ending with this 2nd season,AMC,2018
Sorry for Your Loss,1,Facebook Watch; renewed 12/13,FB,2018
South Park,SEASON 22,Previously renewed through S23,COM,2018
The Spanish Princess,1,"Miniseries, but renewed for S2 on 6/3/19",STRZ,2018
Stan Against Evil,SEASON 3,Canceled 1/28,IFC,2018
Star Wars Resistance,1,Animated series; renewed 1/9,DIS,2018
StartUp,SEASON 3,,CRKL,2018
State of the Union,1,,SUND,2018
Step Up: High Water,SEASON 2,YouTube scripted series,YT,2018
Strike Back,SEASON 6,Renewed for a 7th (final) season on 2/27,MAX,2018
Suits,SEASON 8,Renewed for a 9th (final) season on 1/23,USA,2018
SuperMansion,SEASON 3,,CRKL,2018
Swamp Thing,1,Season cut by 3 eps  on 4/17; canceled 6/6,DCU,2018
Swedish Dicks,SEASON 2,,POP,2018
Tacoma FD,1,Scripted series; renewed 6/18/19,TRU,2018
Tangled: The Series,SEASON 2,Renewed for a 3rd season on 5/31,DISN,2018
Teachers,SEASON 3,Canceled 11/20,TVL,2018
Those Who Can't,SEASON 3,,TRU,2018
Tigtone,1,Renewed 7/8/19,ADSW,2018
Titans,1,Renewed for a 2nd season on 10/3,DCU,2018
Tropical Cop Tales,1,,ADSW,2018
The Tunnel,"SEASON 3 (""Vengeance"")",Ending with this 3rd season,PBS,2018
Unforgotten,SEASON 3,,PBS,2018
Unspeakable,1,Canadian miniseries,SUND,2018
Valley of the Boom,1,Scripted miniseries,NGC,2018
Van Helsing,SEASON 3,Renewed for a 4th season on 12/18,SYFY,2018
The Venture Bros.,SEASON 7,,ADSW,2018
Versailles,SEASON 3,Ending with this 3rd season,OVAT,2018
Victoria,SEASON 3,,PBS,2018
Vida,SEASON 2,Renewed for a 3rd season on 5/31,STRZ,2018
Vikings,SEASON 5,Renewed for a 6th season on 9/12/17,HIST,2018
The Walking Dead,SEASON 9,Renewed for a 10th season on 2/4,AMC,2018
Warrior,1,Renewed for a 2nd season on 4/24,MAX,2018
Wayne,1,YouTube scripted series,YT,2018
Weird City,1,YouTube scripted series,YT,2018
When Calls the Heart,SEASON 6,Renewed for a 7th season on 4/13,HALL,2018
The Woman in White,1,Miniseries,PBS,2018
Wrecked,SEASON 3,Canceled 4/26,TBS,2018
Wynonna Earp,SEASON 3,Renewed for a 4th season on 7/21,SYFY,2018
X Company,SEASON 3,Ending with this 3rd season,OVAT,2018
Yellowstone,1,Renewed for a 2nd season on 7/24,PAR,2018
You,1,Renewed 7/26 but will move to Netflix for S2,LIFE,2018
You Me Her,SEASON 4,Renewed through S5 on 7/27/18,DIREC,2018
Young & Hungry,SEASON 5,Ending with this last batch of episodes,FREEF,2018
Young Justice: Outsiders,1,,DCU,2018
Younger,SEASON 5,Renewed for a 6th season on 6/4,TVL,2018
Your Pretty Face Is Going to Hell,SEASON 4,,ADSW,2018
Z Nation,SEASON 5,Canceled 12/22,SYFY,2018
20/20,SEASON 42,Renewed 5/21,ABC,2019
"$100,000 Pyramid",SEASON 4,Renewed 11/20,ABC,2019
America's Funniest Home Videos,SEASON 30,Renewed through S31 on 10/29/18,ABC,2019
American Housewife,SEASON 4,Renewed 5/21,ABC,2019
American Idol,SEASON 18,Renewed 5/15,ABC,2019
The Bachelor,SEASON 24,Renewed 5/21,ABC,2019
Bachelor in Paradise,SEASON 6,"Renewed 8/5,  S7 likely delayed to 2021",ABC,2019
The Bachelor: Listen to Your Heart,1,,ABC,2019
The Bachelorette,SEASON 15,Renewed 8/5,ABC,2019
The Baker and the Beauty,1,Canceled 6/15/20,ABC,2019
black-ish,SEASON 6,Renewed 5/21,ABC,2019
Bless This Mess,SEASON 2,Canceled 5/21,ABC,2019
Card Sharks,1,Renewed 11/20,ABC,2019
Celebrity Family Feud,SEASON 6,Renewed 11/20,ABC,2019
The Conners,SEASON 2,Renewed 5/21,ABC,2019
Dancing With the Stars,SEASON 28,Renewed 5/21,ABC,2019
Emergence,1,Canceled 5/21,ABC,2019
Family Food Fight,1,,ABC,2019
For Life,1,Renewed 6/15/20,ABC,2019
Fresh Off the Boat,SEASON 6,Canceled 11/8,ABC,2019
The Genetic Detective,1,,ABC,2019
The Goldbergs,SEASON 7,Renewed 5/21,ABC,2019
The Good Doctor,SEASON 3,Renewed for a 4th season on 2/10,ABC,2019
Grand Hotel,1,Canceled 10/1,ABC,2019
The Great American Baking Show,SEASON 5,,ABC,2019
The Great Christmas Light Fight,SEASON 7,Renewed 11/1,ABC,2019
Grey's Anatomy,SEASON 16,Renewed through S17 on 5/10/19,ABC,2019
Holey Moley,1,Renewed 10/10,ABC,2019
Holey Moley,SEASON 2,,ABC,2019
How to Get Away With Murder,SEASON 6,Ending with this 6th season,ABC,2019
The Hustler,1,Delayed,ABC,2019
Kids Say the Darndest Things,1,Canceled 5/21,ABC,2019
Marvel's Agents of S.H.I.E.L.D.,SEASON 7,Ending with this 7th season,ABC,2019
The Match Game,SEASON 4,Renewed 11/20,ABC,2019
The Match Game,SEASON 5,,ABC,2019
A Million Little Things,SEASON 2,Renewed 5/21,ABC,2019
mixed-ish,1,Renewed 5/21,ABC,2019
Modern Family,SEASON 11,Ending with this 11th season,ABC,2019
Press Your Luck,1,Renewed 11/20,ABC,2019
Press Your Luck,SEASON 2,,ABC,2019
Reef Break,1,Canceled 12/13,ABC,2019
The Rookie,SEASON 2,Renewed 5/21,ABC,2019
Schooled,SEASON 2,Canceled 5/21,ABC,2019
Shark Tank,SEASON 11,Renewed 5/21,ABC,2019
Single Parents,SEASON 2,Canceled 5/21,ABC,2019
Station 19,SEASON 3,Renewed for a 4th season on 3/11,ABC,2019
Stumptown,1,Renewed 5/21,ABC,2019
To Tell the Truth,SEASON 4,Renewed 11/20,ABC,2019
To Tell the Truth,SEASON 5,,ABC,2019
What Would You Do?,SEASON 15,,ABC,2019
Who Wants to Be a Millionaire?,1,Renewed 5/21,ABC,2019
48 Hours,SEASON 32,Renewed 5/7,CBS,2019
60 Minutes,SEASON 52,Renewed 5/7,CBS,2019
All Rise,1,Full-season order on 10/22; renewed 5/7,CBS,2019
Big Brother,SEASON 21,Renewed 9/5,CBS,2019
Blood & Treasure,1,Renewed for a 2nd season on 6/26,CBS,2019
Blue Bloods,SEASON 10,Renewed 5/7,CBS,2019
Bob ♥ Abishola,1,Full-season order on 10/22; renewed 5/7,CBS,2019
Broke,1,Canceled 5/7,CBS,2019
Bull,SEASON 4,Renewed 5/7,CBS,2019
Carol's Second Act,1,Full-season order on 10/22; canceled 5/7,CBS,2019
Criminal Minds,SEASON 15,Ending with this 15th season,CBS,2019
Evil,1,Renewed for a 2nd season on 10/22,CBS,2019
F.B.I.,SEASON 2,Renewed 5/7,CBS,2019
F.B.I.: Most Wanted,1,Renewed 5/7,CBS,2019
Game On!,1,,CBS,2019
God Friended Me,SEASON 2,Canceled 4/14,CBS,2019
Hawaii Five-0,SEASON 10,Canceled 2/28,CBS,2019
Instinct,SEASON 2,Canceled 8/17,CBS,2019
Love Island,1,Renewed for a 2nd season on 8/1,CBS,2019
MacGyver,SEASON 4,Renewed 5/7,CBS,2019
Madam Secretary,SEASON 6,Ending with this short 6th season,CBS,2019
Magnum P.I.,SEASON 2,Renewed 5/7,CBS,2019
Man With a Plan,SEASON 4,Canceled 5/7,CBS,2019
Mom,SEASON 7,Renewed through S8 on 2/5/19,CBS,2019
NCIS,SEASON 17,Renewed 5/6,CBS,2019
NCIS: Los Angeles,SEASON 11,Renewed 5/7,CBS,2019
NCIS: New Orleans,SEASON 6,Renewed 5/7,CBS,2019
The Neighborhood,SEASON 2,Renewed 5/7,CBS,2019
SEAL Team,SEASON 3,Renewed 5/7,CBS,2019
Survivor,SEASON 39,,CBS,2019
Survivor,SEASON 40,Renewed 5/7,CBS,2019
S.W.A.T.,SEASON 3,Renewed 5/7,CBS,2019
Tommy,1,Canceled 5/7,CBS,2019
Undercover Boss,SEASON 9,,CBS,2019
The Unicorn,1,Full-season order on 10/22; renewed 5/7,CBS,2019
Young Sheldon,SEASON 3,Renewed through S4 on 2/22/19,CBS,2019
The 100,SEASON 7,Ending with this 7th season,The CW,2019
All American,SEASON 2,Renewed 1/7,The CW,2019
Arrow,SEASON 8,Ending with this short 8th season,The CW,2019
Batwoman,1,Renewed 1/7,The CW,2019
The Big Stage,1,,The CW,2019
Black Lightning,SEASON 3,Renewed 1/7,The CW,2019
Bulletproof,1,,The CW,2019
Burden of Truth,SEASON 2,3rd season picked up by CW on 5/31/19,The CW,2019
Burden of Truth,SEASON 3,,The CW,2019
Charmed,SEASON 2,Renewed 1/7,The CW,2019
DC's Legends of Tomorrow,SEASON 5,Renewed 1/7,The CW,2019
Dynasty,SEASON 3,Renewed 1/7,The CW,2019
The Flash,SEASON 6,Renewed 1/7,The CW,2019
Hypnotize Me,1,,The CW,2019
I Ship It,SEASON 2,,The CW,2019
In the Dark,SEASON 2,Renewed for a 3rd season on 1/7,The CW,2019
Katy Keene,1,Canceled 7/2/20,The CW,2019
Legacies,SEASON 2,Renewed 1/7,The CW,2019
Masters of Illusion,SEASON 6,,The CW,2019
Masters of Illusion,SEASON 7,,The CW,2019
My Last Days,SEASON 3,,The CW,2019
Mysteries Decoded,1,,The CW,2019
Nancy Drew,1,Renewed 1/7,The CW,2019
The Outpost,SEASON 2,Renewed for a 3rd season on 10/15,The CW,2019
Pandora,1,Renewed for a 2nd season on 10/16,The CW,2019
Penn & Teller: Fool Us,SEASON 6,,The CW,2019
Red Bull Peaking,1,,The CW,2019
Riverdale,SEASON 4,Renewed 1/7,The CW,2019
"Roswell, New Mexico",SEASON 2,Renewed 1/7,The CW,2019
Stargirl,1,Renewed 7/6/20; formerly at DC Universe,The CW,2019
Supergirl,SEASON 5,Renewed 1/7,The CW,2019
Supernatural,SEASON 15,Ending with this 15th season,The CW,2019
Two Sentence Horror Stories,1,Renewed 5/14,The CW,2019
Whose Line Is It Anyway,SEASON 15,,The CW,2019
9-1-1,SEASON 3,Renewed for a 4th season on 4/13,Fox,2019
9-1-1: Lone Star,1,Renewed for a 2nd season on 4/13,Fox,2019
Almost Family,1,Canceled 3/2,Fox,2019
BH90210,1,Canceled 11/7,Fox,2019
Big Bounce Battle,1,May not be moving forward,Fox,2019
Bless the Harts,1,Renewed for a 2nd season on 10/18,Fox,2019
Bob's Burgers,SEASON 10,Renewed 5/11,Fox,2019
Celebrity Watch Party,1,,Fox,2019
Deputy,1,Canceled 4/3,Fox,2019
Duncanville,1,Renewed for a 2nd season on 4/6,Fox,2019
Empire,SEASON 6,Ending with this 6th season,Fox,2019
Family Guy,SEASON 18,Renewed 5/11,Fox,2019
First Responders Live,1,,Fox,2019
Flirty Dancing,1,Pulled from schedule after 1/15,Fox,2019
Gordon Ramsay's 24 Hours to Hell and Back,SEASON 3,,Fox,2019
Labor of Love,1,,Fox,2019
Last Man Standing,SEASON 8,Renewed for a 9th season on 5/19,Fox,2019
LEGO Masters,1,"Not officially renewed, but very likely to return",Fox,2019
The Masked Singer,SEASON 2,S3 renewal on 5/13/19,Fox,2019
The Masked Singer,SEASON 3,Renewed for a 4th season on 5/6,Fox,2019
MasterChef,SEASON 10,,Fox,2019
The Moodys,1,Renewed 7/10/20,Fox,2019
Outmatched,1,Canceled 5/19,Fox,2019
Prodigal Son,1,Renewed for a 2nd season on 5/21,Fox,2019
The Resident,SEASON 3,Renewed for a 4th season on 5/19,Fox,2019
The Simpsons,SEASON 31,Renewed through S32 on 2/6/19,Fox,2019
So You Think You Can Dance,SEASON 16,Renewed for a 17th season on 2/20,Fox,2019
Spin the Wheel,1,Game show,Fox,2019
Ultimate Tag,1,,Fox,2019
What Just Happened??!,1,,Fox,2019
America's Got Talent,SEASON 14,,NBC,2019
America's Got Talent,SEASON 15,,NBC,2019
America's Got Talent: The Champions,SEASON 2,,NBC,2019
American Ninja Warrior,SEASON 11,Renewed 1/21,NBC,2019
The Blacklist,SEASON 7,Renewed for an 8th season on 2/20,NBC,2019
Blindspot,SEASON 5,Ending with S5,NBC,2019
Bluff City Law,1,Canceled 6/15/20,NBC,2019
Bring the Funny,1,,NBC,2019
Brooklyn Nine-Nine,SEASON 7,Renewed for an 8th season on 11/14,NBC,2019
Chicago Fire,SEASON 8,Renewed through S11 on 2/27/20,NBC,2019
Chicago Med,SEASON 5,Renewed through S8 on 2/27/20,NBC,2019
Chicago P.D.,SEASON 7,Renewed through S10 on 2/27/20,NBC,2019
Council of Dads,1,Canceled 6/25/20,NBC,2019
Dateline NBC,SEASON 29,Renewed 6/16/20,NBC,2019
Ellen's Game of Games,SEASON 3,Renewed for a 4th season on 2/18,NBC,2019
Good Girls,SEASON 3,Renewed for a 4th season on 5/15,NBC,2019
The Good Place,SEASON 4,Ending with this 4th season,NBC,2019
Hollywood Game Night,SEASON 6,,NBC,2019
The InBetween,1,Canceled 11/1,NBC,2019
Indebted,1,Canceled 6/15/20,NBC,2019
Law & Order: SVU,SEASON 21,Renewed through S24 on 2/27/20,NBC,2019
Lincoln Rhyme: Hunt for the Bone Collector,1,,NBC,2019
Little Big Shots,SEASON 4,,NBC,2019
Making It,SEASON 2,Renewed for a 3rd season on 1/11,NBC,2019
Manifest,SEASON 2,Renewed for a 3rd season on 6/15/20,NBC,2019
New Amsterdam,SEASON 2,Renewed through S5 on 1/11/20,NBC,2019
Perfect Harmony,1,Canceled 6/10/20,NBC,2019
Songland,1,Renewed for a 2nd season on 9/10,NBC,2019
Songland,SEASON 2,,NBC,2019
Sunnyside,1,Canceled 10/15; first fall show canceled,NBC,2019
Superstore,SEASON 5,Renewed for a 6th season on 2/11,NBC,2019
This Is Us,SEASON 4,Renewed through S6 on 5/12/19,NBC,2019
The Titan Games,SEASON 2,,NBC,2019
The Voice,SEASON 17,,NBC,2019
The Voice,SEASON 18,Renewed 6/16/20,NBC,2019
The Wall,SEASON 4,,NBC,2019
Will & Grace,SEASON 11,Ending with this 11th season,NBC,2019
World of Dance,SEASON 4,,NBC,2019
Zoey's Extraordinary Playlist,1,Renewed for a 2nd season on 6/11/20,NBC,2019
Avenue 5,1,Renewed for a 2nd season on 2/13,HBO,2019
Ballers,SEASON 5,Ending with this 5th season,HBO,2019
Betty,1,Renewed for a 2nd season on 6/18/20,HBO,2019
Big Little Lies,SEASON 2,,HBO,2019
A Black Lady Sketch Show,1,Renewed for a 2nd season on 8/27,HBO,2019
Catherine the Great,1,Miniseries,HBO,2019
Curb Your Enthusiasm,SEASON 10,Renewed 6/30/20,HBO,2019
The Deuce,SEASON 3,Ending with this 3rd season,HBO,2019
Divorce,SEASON 3,Ending with this 3rd season,HBO,2019
Euphoria,1,Renewed for a 2nd season on 7/11,HBO,2019
High Maintenance,SEASON 10,(4th season on HBO),HBO,2019
His Dark Materials,1,Renewed for a 2nd season on 9/11/18,HBO,2019
I Know This Much Is True,1,Miniseries; rescheduled from April,HBO,2019
Insecure,SEASON 4,Renewed for a 5th season on 5/1,HBO,2019
Last Week Tonight With John Oliver,S6,Previously renewed through S7,HBO,2019
Last Week Tonight With John Oliver,SEASON 7,,HBO,2019
Los Espookys,1,Spanish-language series; renewed 7/24,HBO,2019
McMillions,1,Documentary miniseries,HBO,2019
Mrs. Fletcher,1,Miniseries,HBO,2019
My Brilliant Friend,"SEASON 2 (""The Story of a New Name"")",Renewed for a 3rd season on 4/30,HBO,2019
The New Pope,1,Miniseries (replaces The Young Pope),HBO,2019
Our Boys,1,Miniseries,HBO,2019
The Outsider,1,,HBO,2019
The Plot Against America,1,Miniseries,HBO,2019
The Righteous Gemstones,1,Renewed for a 2nd season on 9/9,HBO,2019
Room 104,SEASON 3,,HBO,2019
Run,1,Canceled 7/10/20,HBO,2019
Silicon Valley,SEASON 6,Ending with this 6th season,HBO,2019
Succession,SEASON 2,Renewed for a 3rd season on 8/20,HBO,2019
Watchmen,1,"For now, it's a miniseries—so no S2",HBO,2019
Westworld,SEASON 3,Renewed for a 4th season on 4/22,HBO,2019
Years and Years,1,Miniseries,HBO,2019
The Affair,SEASON 5,Ending with this 5th season,Showtime,2019
Back to Life,1,Renewed for a 2nd season on 11/19,Showtime,2019
Billions,SEASON 5,,Showtime,2019
Black Monday,SEASON 2,,Showtime,2019
City on a Hill,1,Renewed for a 2nd season on 8/2,Showtime,2019
Homeland,SEASON 8,Ending with this 8th season,Showtime,2019
Kidding,SEASON 2,Canceled 7/14/20,Showtime,2019
The L Word: Generation Q,1,Renewed for a 2nd season on 1/13,Showtime,2019
The Loudest Voice,1,Miniseries,Showtime,2019
On Becoming a God in Central Florida,1,Moved from YouTube; renewed 9/26,Showtime,2019
Our Cartoon President,SEASON 2,,Showtime,2019
Our Cartoon President,SEASON 3,,Showtime,2019
Penny Dreadful: City of Angels,1,,Showtime,2019
Ray Donovan,SEASON 7,Canceled 2/4,Showtime,2019
Shameless,SEASON 10,Renewed for a final S11 on 1/13,Showtime,2019
Vice,SEASON 7,Moving from HBO,Showtime,2019
